1 - Dundas (East),1E
1 - Dundas (West),1W
3 - Bloor (East),3E
3 - Bloor (West),3W
4 - Sherway Gardens (East),4E
4 - Sherway Gardens (West),4W
5 - Dixie (North),5N
5 - Dixie (South),5S
6 - Credit Woodlands (East),6E
6 - Credit Woodlands (West),6W
7 - Airport (North),7N
7 - Airport (South),7S
8 - Cawthra (North),8N
8 - Cawthra (South),8S
9 - Rathburn-Millers Grove (North),9N
9 - Rathburn-Millers Grove (South),9S
10 - Bristol-Britannia (North),10N
10 - Bristol-Britannia (South),10S
11 - Westwood (North),11N
11 - Westwood (South),11S
12 - Rexdale (East),12E
12 - Rexdale (West),12W
13 - Glen Erin (North),13N
13 - Glen Erin (South),13S
14 - Lorne Park (East),14E
14 - Lorne Park (West),14W
15 - Drew (East),15E
15 - Drew (West),15W
16 - Malton (North),16N
16 - Malton (South),16S
19 - Hurontario (North),19N
19 - Hurontario (South),19S
20 - Rathburn (East),20E
20 - Rathburn (West),20W
21 - Explorer (East),21E
21 - Explorer (West),21W
22 - Finch (East),22E
22 - Finch (West),22W
23 - Lakeshore (East),23E
23 - Lakeshore (West),23W
24 - Northwest (North),24N
24 - Northwest (South),24S
25 - Traders Loop (Clockwise),25C
26 - Burnhamthorpe (East),26E
26 - Burnhamthorpe (West),26W
28 - Confederation (North),28N
28 - Confederation (South),28S
29 - Park Royal (North),29N
29 - Park Royal (South),29S
30 - Woodbine (East),30E
30 - Woodbine (West),30W
31 - Folkway-Homelands (North),31N
31 - Folkway-Homelands (South),31S
32 - Lisgar GO (North),32N
32 - Lisgar GO (South),32S
34 - Credit Valley (East),34E
34 - Credit Valley (West),34W
35 - Eglinton (East),35E
35 - Eglinton (West),35W
36 - Colonial Loop (Counterclockwise),36C
38 - Creditview (North),38N
38 - Creditview (South),38S
39 - Britannia (East),39E
39 - Britannia (West),39W
41 - Thomas (East),41E
41 - Thomas (West),41W
42 - Derry (East),42E
42 - Derry (West),42W
43 - Matheson-Argentia (North),43N
43 - Matheson-Argentia (South),43S
44 - Mississauga Road (North),44N
44 - Mississauga Road (South),44S
45 - Winston Churchill (North),45N
45 - Winston Churchill (South),45S
46 - Tenth Line (North),46N
46 - Tenth Line (South),46S
47 - Ridgeway Loop (Clockwise),47C
48 - Erin Mills (North),48N
48 - Erin Mills (South),48S
49 - McDowell (East),49E
49 - McDowell (West),49W
51 - Tomken (North),51N
51 - Tomken (South),51S
52 - Shawson Loop (Clockwise),52C
53 - Kennedy (North),53N
53 - Kennedy (South),53S
55 - Meyerside Loop (Counterclockwise),55C
57 - Courtneypark (North),57N
57 - Courtneypark (South),57S
59 - Airport Infield (South),59S
61 - Mavis (North),61N
61 - Mavis (South),61S
62 - Cooksville GO (North),62N
62 - Cooksville GO (South),62S
64 - Meadowvale GO (East),64E
64 - Meadowvale GO (West),64W
65 - Barondale Loop (Clockwise),65C
66 - McLaughlin (North),66N
66 - McLaughlin (South),66S
67 - Streetsville GO (North),67N
67 - Streetsville GO (South),67S
68 - Windsor Hill Loop (Clockwise),68C
70 - Keaton (East),70E
70 - Keaton (West),70W
71 - Sheridan-Subway (East),71E
71 - Sheridan-Subway (West),71W
72 - Timberlea (East),72E
72 - Timberlea (West),72W
73 - Kamato (East),73E
73 - Kamato (West),73W
76 - City Centre-Subway (East),76E
76 - City Centre-Subway (West),76W
87 - Meadowvale-Skymark (North),87N
87 - Meadowvale-Skymark (South),87S
90 - Terragar-Copenhagen Loop (East),90E
90 - Terragar-Copenhagen Loop (West),90W
91 - Hillcrest (North),91N
91 - Hillcrest (South),91S
101 - Dundas Express (East),101E
101 - Dundas Express (West),101W
103 - Hurontario Express (North),103N
103 - Hurontario Express (South),103S
107 - Malton Express (North),107N
107 - Malton Express (South),107S
108 - Meadowvale Business Express (North),108N
108 - Meadowvale Business Express (South),108S
109 - Meadowvale Express (North),109N
109 - Meadowvale Express (South),109S
110 - University Express (North),110N
110 - University Express (South),110S
302 - Philip Pocock-Bloor West (West),302W
304 - Father Goetz-Mississauga Valley (East),304E
304 - Father Goetz-Mississauga Valley (West),304W
305 - Streetsville-Falconer (North),305N
305 - Streetsville-Falconer (South),305S
307 - Philip Pocock-Bloor East (East),307E
308 - St. Joseph-Eglinton (North),308N
308 - St. Joseph-Eglinton (South),308S
309 - St. Joseph-Rathburn (South),309S
310 - Clarkson-Winston Churchill (North),310N
312 - Gordon Graydon-City Centre (North),312N
314 - Rick Hansen-Donway (North),314N
314 - Rick Hansen-Donway (South),314S
315 - Rick Hansen-City Centre (North),315N
315 - Rick Hansen-City Centre (South),315S
321 - Stephen Lewis-St.Joan of Arc (North),321N
321 - Stephen Lewis-St.Joan of Arc (South),321S
334 - St. Joseph-City Centre (South),334S
335 - Allan A. Martin (West),335W
347 - Loyola-South Common (East),347E
347 - Loyola-South Common (West),347W
