SOUTH COMMON CENTRE BUS TERMINAL PLATFORM F,7:55:00 AM,8:33:00 AM,9:11:00 AM,9:49:00 AM,10:27:00 AM,11:05:00 AM,11:43:00 AM,12:21:00 PM,12:59:00 PM,1:37:00 PM,2:15:00 PM,2:53:00 PM,3:31:00 PM,4:09:00 PM,4:47:00 PM,5:25:00 PM,6:03:00 PM,6:41:00 PM,7:19:00 PM,7:57:00 PM,8:35:00 PM,9:13:00 PM,9:51:00 PM,10:29:00 PM,11:07:00 PM,11:45:00 PM
BURNHAMTHORPE RD W at WINSTON CHURCHILL BLVD,8:00:00 AM,8:38:00 AM,9:16:00 AM,9:54:00 AM,10:32:00 AM,11:10:00 AM,11:48:00 AM,12:26:00 PM,1:04:00 PM,1:42:00 PM,2:20:00 PM,2:58:00 PM,3:36:00 PM,4:14:00 PM,4:52:00 PM,5:30:00 PM,6:08:00 PM,6:46:00 PM,7:24:00 PM,8:02:00 PM,8:40:00 PM,9:18:00 PM,9:56:00 PM,10:34:00 PM,11:12:00 PM,11:50:00 PM
BURNHAMTHORPE RD west of WINSTON CHURCHILL BLVD,8:01:00 AM,8:39:00 AM,9:17:00 AM,9:55:00 AM,10:33:00 AM,11:11:00 AM,11:49:00 AM,12:27:00 PM,1:05:00 PM,1:43:00 PM,2:21:00 PM,2:59:00 PM,3:37:00 PM,4:15:00 PM,4:53:00 PM,5:31:00 PM,6:09:00 PM,6:47:00 PM,7:25:00 PM,8:03:00 PM,8:41:00 PM,9:19:00 PM,9:57:00 PM,10:35:00 PM,11:13:00 PM,11:51:00 PM
LOYALIST DR at OSBOURNE RD,8:04:00 AM,8:42:00 AM,9:20:00 AM,9:58:00 AM,10:36:00 AM,11:14:00 AM,11:52:00 AM,12:30:00 PM,1:08:00 PM,1:46:00 PM,2:24:00 PM,3:02:00 PM,3:40:00 PM,4:18:00 PM,4:56:00 PM,5:34:00 PM,6:12:00 PM,6:50:00 PM,7:28:00 PM,8:06:00 PM,8:44:00 PM,9:22:00 PM,10:00:00 PM,10:38:00 PM,11:16:00 PM,11:54:00 PM
UNITY DR FIRST STOP west of PEPPER MILL CRT,8:05:00 AM,8:43:00 AM,9:21:00 AM,9:59:00 AM,10:37:00 AM,11:15:00 AM,11:53:00 AM,12:31:00 PM,1:09:00 PM,1:47:00 PM,2:25:00 PM,3:03:00 PM,3:41:00 PM,4:19:00 PM,4:57:00 PM,5:35:00 PM,6:13:00 PM,6:51:00 PM,7:29:00 PM,8:07:00 PM,8:45:00 PM,9:23:00 PM,10:01:00 PM,10:39:00 PM,11:17:00 PM,11:55:00 PM
COLONIAL DR south of HUXLEY DR,8:09:00 AM,8:47:00 AM,9:25:00 AM,10:03:00 AM,10:41:00 AM,11:19:00 AM,11:57:00 AM,12:35:00 PM,1:13:00 PM,1:51:00 PM,2:29:00 PM,3:07:00 PM,3:45:00 PM,4:23:00 PM,5:01:00 PM,5:39:00 PM,6:17:00 PM,6:55:00 PM,7:33:00 PM,8:11:00 PM,8:49:00 PM,9:27:00 PM,10:05:00 PM,10:43:00 PM,11:21:00 PM,11:59:00 PM
COLONIAL DR at THE COLLEGEWAY,8:10:00 AM,8:48:00 AM,9:26:00 AM,10:04:00 AM,10:42:00 AM,11:20:00 AM,11:58:00 AM,12:36:00 PM,1:14:00 PM,1:52:00 PM,2:30:00 PM,3:08:00 PM,3:46:00 PM,4:24:00 PM,5:02:00 PM,5:40:00 PM,6:18:00 PM,6:56:00 PM,7:34:00 PM,8:12:00 PM,8:50:00 PM,9:28:00 PM,10:06:00 PM,10:44:00 PM,11:22:00 PM,12:00:00 AM
VEGA BLVD at LAIRD RD,8:16:00 AM,8:54:00 AM,9:32:00 AM,10:10:00 AM,10:48:00 AM,11:26:00 AM,12:04:00 PM,12:42:00 PM,1:20:00 PM,1:58:00 PM,2:36:00 PM,3:14:00 PM,3:52:00 PM,4:30:00 PM,5:08:00 PM,5:46:00 PM,6:24:00 PM,7:02:00 PM,7:40:00 PM,8:18:00 PM,8:56:00 PM,9:34:00 PM,10:12:00 PM,10:50:00 PM,11:28:00 PM,12:06:00 AM
LAIRD RD west of RIDGEWAY DR,8:16:00 AM,8:54:00 AM,9:32:00 AM,10:10:00 AM,10:48:00 AM,11:26:00 AM,12:04:00 PM,12:42:00 PM,1:20:00 PM,1:58:00 PM,2:36:00 PM,3:14:00 PM,3:52:00 PM,4:30:00 PM,5:08:00 PM,5:46:00 PM,6:24:00 PM,7:02:00 PM,7:40:00 PM,8:18:00 PM,8:56:00 PM,9:34:00 PM,10:12:00 PM,10:50:00 PM,11:28:00 PM,12:06:00 AM
COLONIAL DR at McMASTER RD,8:19:00 AM,8:57:00 AM,9:35:00 AM,10:13:00 AM,10:51:00 AM,11:29:00 AM,12:07:00 PM,12:45:00 PM,1:23:00 PM,2:01:00 PM,2:39:00 PM,3:17:00 PM,3:55:00 PM,4:33:00 PM,5:11:00 PM,5:49:00 PM,6:27:00 PM,7:05:00 PM,7:43:00 PM,8:21:00 PM,8:59:00 PM,9:37:00 PM,10:15:00 PM,10:53:00 PM,11:31:00 PM,12:09:00 AM
GARTHWOOD RD at MULCASTER RD,8:20:00 AM,8:58:00 AM,9:36:00 AM,10:14:00 AM,10:52:00 AM,11:30:00 AM,12:08:00 PM,12:46:00 PM,1:24:00 PM,2:02:00 PM,2:40:00 PM,3:18:00 PM,3:56:00 PM,4:34:00 PM,5:12:00 PM,5:50:00 PM,6:28:00 PM,7:06:00 PM,7:44:00 PM,8:22:00 PM,9:00:00 PM,9:38:00 PM,10:16:00 PM,10:54:00 PM,11:32:00 PM,12:10:00 AM
THE COLLEGEWAY at WINSTON CHURCHILL BLVD,8:23:00 AM,9:01:00 AM,9:39:00 AM,10:17:00 AM,10:55:00 AM,11:33:00 AM,12:11:00 PM,12:49:00 PM,1:27:00 PM,2:05:00 PM,2:43:00 PM,3:21:00 PM,3:59:00 PM,4:37:00 PM,5:15:00 PM,5:53:00 PM,6:31:00 PM,7:09:00 PM,7:47:00 PM,8:25:00 PM,9:03:00 PM,9:41:00 PM,10:19:00 PM,10:57:00 PM,11:35:00 PM,12:13:00 AM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM F,8:29:00 AM,9:07:00 AM,9:45:00 AM,10:23:00 AM,11:01:00 AM,11:39:00 AM,12:17:00 PM,12:55:00 PM,1:33:00 PM,2:11:00 PM,2:49:00 PM,3:27:00 PM,4:05:00 PM,4:43:00 PM,5:21:00 PM,5:59:00 PM,6:37:00 PM,7:15:00 PM,7:53:00 PM,8:31:00 PM,9:09:00 PM,9:47:00 PM,10:25:00 PM,11:03:00 PM,11:41:00 PM,12:19:00 AM
