WHITTLE RD at BRITANNIA RD,8:22:00 AM,9:07:00 AM,9:52:00 AM,10:37:00 AM,11:22:00 AM,12:07:00 PM,12:52:00 PM,1:37:00 PM,2:22:00 PM,3:07:00 PM,3:52:00 PM,4:37:00 PM,5:22:00 PM,6:07:00 PM,6:52:00 PM,7:37:00 PM,8:22:00 PM,9:07:00 PM
BRITANNIA RD at HURONTARIO ST,8:23:00 AM,9:08:00 AM,9:53:00 AM,10:38:00 AM,11:23:00 AM,12:08:00 PM,12:53:00 PM,1:38:00 PM,2:23:00 PM,3:08:00 PM,3:53:00 PM,4:38:00 PM,5:23:00 PM,6:08:00 PM,6:53:00 PM,7:38:00 PM,8:23:00 PM,9:08:00 PM
BRITANNIA RD at MAVIS RD,8:27:00 AM,9:12:00 AM,9:57:00 AM,10:42:00 AM,11:27:00 AM,12:12:00 PM,12:57:00 PM,1:42:00 PM,2:27:00 PM,3:12:00 PM,3:57:00 PM,4:42:00 PM,5:27:00 PM,6:12:00 PM,6:57:00 PM,7:42:00 PM,8:27:00 PM,9:12:00 PM
BRITANNIA RD at CREDITVIEW RD,8:32:00 AM,9:17:00 AM,10:02:00 AM,10:47:00 AM,11:32:00 AM,12:17:00 PM,1:02:00 PM,1:47:00 PM,2:32:00 PM,3:17:00 PM,4:02:00 PM,4:47:00 PM,5:32:00 PM,6:17:00 PM,7:02:00 PM,7:47:00 PM,8:32:00 PM,9:17:00 PM
BRITANNIA RD at QUEEN ST N,8:35:00 AM,9:20:00 AM,10:05:00 AM,10:50:00 AM,11:35:00 AM,12:20:00 PM,1:05:00 PM,1:50:00 PM,2:35:00 PM,3:20:00 PM,4:05:00 PM,4:50:00 PM,5:35:00 PM,6:20:00 PM,7:05:00 PM,7:50:00 PM,8:35:00 PM,9:20:00 PM
BRITANNIA RD at ERIN MILLS PKY,8:38:00 AM,9:23:00 AM,10:08:00 AM,10:53:00 AM,11:38:00 AM,12:23:00 PM,1:08:00 PM,1:53:00 PM,2:38:00 PM,3:23:00 PM,4:08:00 PM,4:53:00 PM,5:38:00 PM,6:23:00 PM,7:08:00 PM,7:53:00 PM,8:38:00 PM,9:23:00 PM
BRITANNIA RD FIRST STOP west of ERIN MILLS PKY,8:38:00 AM,9:23:00 AM,10:08:00 AM,10:53:00 AM,11:38:00 AM,12:23:00 PM,1:08:00 PM,1:53:00 PM,2:38:00 PM,3:23:00 PM,4:08:00 PM,4:53:00 PM,5:38:00 PM,6:23:00 PM,7:08:00 PM,7:53:00 PM,8:38:00 PM,9:23:00 PM
BRITANNIA RD at WINSTON CHURCHILL BLVD,8:41:00 AM,9:26:00 AM,10:11:00 AM,10:56:00 AM,11:41:00 AM,12:26:00 PM,1:11:00 PM,1:56:00 PM,2:41:00 PM,3:26:00 PM,4:11:00 PM,4:56:00 PM,5:41:00 PM,6:26:00 PM,7:11:00 PM,7:56:00 PM,8:41:00 PM,9:26:00 PM
BRITANNIA RD at NINTH LINE,8:45:00 AM,9:30:00 AM,10:15:00 AM,11:00:00 AM,11:45:00 AM,12:30:00 PM,1:15:00 PM,2:00:00 PM,2:45:00 PM,3:30:00 PM,4:15:00 PM,5:00:00 PM,5:45:00 PM,6:30:00 PM,7:15:00 PM,8:00:00 PM,8:45:00 PM,9:30:00 PM
LISGAR DR at DOUG LEAVENS BLVD,8:50:00 AM,9:35:00 AM,10:20:00 AM,11:05:00 AM,11:50:00 AM,12:35:00 PM,1:20:00 PM,2:05:00 PM,2:50:00 PM,3:35:00 PM,4:20:00 PM,5:05:00 PM,5:50:00 PM,6:35:00 PM,7:20:00 PM,8:05:00 PM,8:50:00 PM,9:35:00 PM
LISGAR DR at DERRY RD,8:53:00 AM,9:38:00 AM,10:23:00 AM,11:08:00 AM,11:53:00 AM,12:38:00 PM,1:23:00 PM,2:08:00 PM,2:53:00 PM,3:38:00 PM,4:23:00 PM,5:08:00 PM,5:53:00 PM,6:38:00 PM,7:23:00 PM,8:08:00 PM,8:53:00 PM,9:38:00 PM
DERRY RD east of LISGAR DR,8:53:00 AM,9:38:00 AM,10:23:00 AM,11:08:00 AM,11:53:00 AM,12:38:00 PM,1:23:00 PM,2:08:00 PM,2:53:00 PM,3:38:00 PM,4:23:00 PM,5:08:00 PM,5:53:00 PM,6:38:00 PM,7:23:00 PM,8:08:00 PM,8:53:00 PM,9:38:00 PM
DERRY RD at WINSTON CHURCHILL BLVD,8:57:00 AM,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:57:00 PM,3:42:00 PM,4:27:00 PM,5:12:00 PM,5:57:00 PM,6:42:00 PM,7:27:00 PM,8:12:00 PM,8:57:00 PM,9:42:00 PM
MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM E,9:00:00 AM,9:45:00 AM,10:30:00 AM,11:15:00 AM,12:00:00 PM,12:45:00 PM,1:30:00 PM,2:15:00 PM,3:00:00 PM,3:45:00 PM,4:30:00 PM,5:15:00 PM,6:00:00 PM,6:45:00 PM,7:30:00 PM,8:15:00 PM,9:00:00 PM,9:45:00 PM
