MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM F,8:03:00 AM,8:36:00 AM,9:09:00 AM,9:42:00 AM,10:15:00 AM,10:48:00 AM,11:21:00 AM,11:54:00 AM,12:24:00 PM,1:00:00 PM,1:33:00 PM,2:06:00 PM,2:39:00 PM,3:12:00 PM,3:44:00 PM,4:18:00 PM,4:51:00 PM,5:24:00 PM,5:57:00 PM,6:30:00 PM,7:03:00 PM,7:36:00 PM,8:09:00 PM,8:42:00 PM,9:15:00 PM,9:47:00 PM,10:21:00 PM
AQUITAINE AVE at MONTEVIDEO RD,8:06:00 AM,8:39:00 AM,9:12:00 AM,9:45:00 AM,10:18:00 AM,10:51:00 AM,11:24:00 AM,11:57:00 AM,12:27:00 PM,1:03:00 PM,1:36:00 PM,2:09:00 PM,2:42:00 PM,3:15:00 PM,3:47:00 PM,4:21:00 PM,4:54:00 PM,5:27:00 PM,6:00:00 PM,6:33:00 PM,7:06:00 PM,7:39:00 PM,8:12:00 PM,8:45:00 PM,9:18:00 PM,9:50:00 PM,10:24:00 PM
BATTLEFORD RD at ERIN MILLS PKY,8:09:00 AM,8:42:00 AM,9:15:00 AM,9:48:00 AM,10:21:00 AM,10:54:00 AM,11:27:00 AM,12:00:00 PM,12:30:00 PM,1:06:00 PM,1:39:00 PM,2:12:00 PM,2:45:00 PM,3:18:00 PM,3:50:00 PM,4:24:00 PM,4:57:00 PM,5:30:00 PM,6:03:00 PM,6:36:00 PM,7:09:00 PM,7:42:00 PM,8:15:00 PM,8:48:00 PM,9:21:00 PM,9:53:00 PM,10:27:00 PM
ERIN MILLS PKY at BRITANNIA RD,8:12:00 AM,8:45:00 AM,9:18:00 AM,9:51:00 AM,10:24:00 AM,10:57:00 AM,11:30:00 AM,12:03:00 PM,12:33:00 PM,1:09:00 PM,1:42:00 PM,2:15:00 PM,2:48:00 PM,3:21:00 PM,3:53:00 PM,4:27:00 PM,5:00:00 PM,5:33:00 PM,6:06:00 PM,6:39:00 PM,7:12:00 PM,7:45:00 PM,8:18:00 PM,8:51:00 PM,9:24:00 PM,9:56:00 PM,10:30:00 PM
ERIN MILLS PKY at THOMAS ST,8:14:00 AM,8:47:00 AM,9:20:00 AM,9:53:00 AM,10:26:00 AM,10:59:00 AM,11:32:00 AM,12:05:00 PM,12:35:00 PM,1:11:00 PM,1:44:00 PM,2:17:00 PM,2:50:00 PM,3:23:00 PM,3:55:00 PM,4:29:00 PM,5:02:00 PM,5:35:00 PM,6:08:00 PM,6:41:00 PM,7:14:00 PM,7:47:00 PM,8:20:00 PM,8:53:00 PM,9:26:00 PM,9:58:00 PM,10:32:00 PM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM F,8:18:00 AM,8:51:00 AM,9:24:00 AM,9:57:00 AM,10:30:00 AM,11:03:00 AM,11:36:00 AM,12:09:00 PM,12:39:00 PM,1:15:00 PM,1:48:00 PM,2:21:00 PM,2:54:00 PM,3:27:00 PM,3:59:00 PM,4:33:00 PM,5:06:00 PM,5:39:00 PM,6:12:00 PM,6:45:00 PM,7:18:00 PM,7:51:00 PM,8:24:00 PM,8:57:00 PM,9:30:00 PM,10:02:00 PM,10:36:00 PM
CREDIT VALLEY HOSPITAL,8:22:00 AM,8:55:00 AM,9:28:00 AM,10:01:00 AM,10:34:00 AM,11:07:00 AM,11:40:00 AM,12:13:00 PM,12:43:00 PM,1:19:00 PM,1:52:00 PM,2:25:00 PM,2:58:00 PM,3:31:00 PM,4:03:00 PM,4:37:00 PM,5:10:00 PM,5:43:00 PM,6:16:00 PM,6:49:00 PM,7:22:00 PM,7:55:00 PM,8:28:00 PM,9:01:00 PM,9:34:00 PM,10:06:00 PM,10:40:00 PM
ERIN MILLS PKY at FOLKWAY DR,8:26:00 AM,8:59:00 AM,9:32:00 AM,10:05:00 AM,10:38:00 AM,11:11:00 AM,11:44:00 AM,12:17:00 PM,12:47:00 PM,1:23:00 PM,1:56:00 PM,2:29:00 PM,3:02:00 PM,3:35:00 PM,4:07:00 PM,4:41:00 PM,5:14:00 PM,5:47:00 PM,6:20:00 PM,6:53:00 PM,7:26:00 PM,7:59:00 PM,8:32:00 PM,9:05:00 PM,9:38:00 PM,10:10:00 PM,10:44:00 PM
THE COLLEGEWAY at SOUTH COMMON CENTRE ACCESS RD,8:29:00 AM,9:02:00 AM,9:35:00 AM,10:08:00 AM,10:41:00 AM,11:14:00 AM,11:47:00 AM,12:20:00 PM,12:50:00 PM,1:26:00 PM,1:59:00 PM,2:32:00 PM,3:05:00 PM,3:38:00 PM,4:10:00 PM,4:44:00 PM,5:17:00 PM,5:50:00 PM,6:23:00 PM,6:56:00 PM,7:29:00 PM,8:02:00 PM,8:35:00 PM,9:08:00 PM,9:41:00 PM,10:13:00 PM,10:47:00 PM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM E,8:31:00 AM,9:04:00 AM,9:37:00 AM,10:10:00 AM,10:43:00 AM,11:16:00 AM,11:49:00 AM,12:22:00 PM,12:52:00 PM,1:28:00 PM,2:01:00 PM,2:34:00 PM,3:07:00 PM,3:40:00 PM,4:12:00 PM,4:46:00 PM,5:19:00 PM,5:52:00 PM,6:25:00 PM,6:58:00 PM,7:31:00 PM,8:04:00 PM,8:37:00 PM,9:10:00 PM,9:43:00 PM,10:15:00 PM,10:49:00 PM
