DUNDAS ST west of ERINDALE STATION RD,9:09:00 AM,9:44:00 AM,10:19:00 AM,10:54:00 AM,11:29:00 AM,12:04:00 PM,12:39:00 PM,1:14:00 PM,1:49:00 PM,2:24:00 PM,2:59:00 PM,3:34:00 PM,4:09:00 PM,4:44:00 PM,5:19:00 PM,5:54:00 PM,6:30 PM[c]
FORESTWOOD DR at ERINDALE STATION RD,9:15:00 AM,9:50:00 AM,10:25:00 AM,11:00:00 AM,11:35:00 AM,12:10:00 PM,12:45:00 PM,1:20:00 PM,1:55:00 PM,2:30:00 PM,3:05:00 PM,3:40:00 PM,4:15:00 PM,4:50:00 PM,5:25:00 PM,6:00:00 PM,6:36 PM[c]
MCBRIDE AVE at ERINDALE STATION RD,9:18:00 AM,9:53:00 AM,10:28:00 AM,11:03:00 AM,11:38:00 AM,12:13:00 PM,12:48:00 PM,1:23:00 PM,1:58:00 PM,2:33:00 PM,3:08:00 PM,3:43:00 PM,4:18:00 PM,4:53:00 PM,5:28:00 PM,6:03:00 PM,
THE CREDIT WOODLANDS at MCBRIDE AVE,9:20:00 AM,9:55:00 AM,10:30:00 AM,11:05:00 AM,11:40:00 AM,12:15:00 PM,12:50:00 PM,1:25:00 PM,2:00:00 PM,2:35:00 PM,3:10:00 PM,3:45:00 PM,4:20:00 PM,4:55:00 PM,5:30:00 PM,6:05:00 PM,
BURNHAMTHORPE RD W at THE CREDIT WOODLANDS,9:24:00 AM,9:59:00 AM,10:34:00 AM,11:09:00 AM,11:44:00 AM,12:19:00 PM,12:54:00 PM,1:29:00 PM,2:04:00 PM,2:39:00 PM,3:14:00 PM,3:49:00 PM,4:24:00 PM,4:59:00 PM,5:34:00 PM,6:09:00 PM,
BURNHAMTHORPE RD W at ERINDALE STATION RD,9:26:00 AM,10:01:00 AM,10:36:00 AM,11:11:00 AM,11:46:00 AM,12:21:00 PM,12:56:00 PM,1:31:00 PM,2:06:00 PM,2:41:00 PM,3:16:00 PM,3:51:00 PM,4:26:00 PM,5:01:00 PM,5:36:00 PM,6:11:00 PM,
CENTRAL PKY at MAVIS RD,9:31:00 AM,10:06:00 AM,10:41:00 AM,11:16:00 AM,11:51:00 AM,12:26:00 PM,1:01:00 PM,1:36:00 PM,2:11:00 PM,2:46:00 PM,3:21:00 PM,3:56:00 PM,4:31:00 PM,5:06:00 PM,5:41:00 PM,6:16:00 PM,
CENTRAL PKY W east of COPERNICUS DR,9:33:00 AM,10:08:00 AM,10:43:00 AM,11:18:00 AM,11:53:00 AM,12:28:00 PM,1:03:00 PM,1:38:00 PM,2:13:00 PM,2:48:00 PM,3:23:00 PM,3:58:00 PM,4:33:00 PM,5:08:00 PM,5:43:00 PM,6:18:00 PM,
CONFEDERATION PKY at BURNHAMTHORPE RD,9:35:00 AM,10:10:00 AM,10:45:00 AM,11:20:00 AM,11:55:00 AM,12:30:00 PM,1:05:00 PM,1:40:00 PM,2:15:00 PM,2:50:00 PM,3:25:00 PM,4:00:00 PM,4:35:00 PM,5:10:00 PM,5:45:00 PM,6:20:00 PM,
LIVING ARTS DR at RATHBURN RD,9:38:00 AM,10:13:00 AM,10:48:00 AM,11:23:00 AM,11:58:00 AM,12:33:00 PM,1:08:00 PM,1:43:00 PM,2:18:00 PM,2:53:00 PM,3:28:00 PM,4:03:00 PM,4:38:00 PM,5:13:00 PM,5:48:00 PM,6:23:00 PM,
CITY CENTRE BUS TERMINAL PLATFORM K,9:41:00 AM,10:16:00 AM,10:51:00 AM,11:26:00 AM,12:01:00 PM,12:36:00 PM,1:11:00 PM,1:46:00 PM,2:21:00 PM,2:56:00 PM,3:31:00 PM,4:06:00 PM,4:41:00 PM,5:16:00 PM,5:51:00 PM,6:26:00 PM,
