STANFIELD RD SECOND STOP north of MIDDLEGATE RD,6:40:00 AM,7:40:00 AM,8:40:00 AM,9:40:00 AM,10:40:00 AM,11:40:00 AM,12:40:00 PM,1:40:00 PM,2:40:00 PM,3:40:00 PM,4:40:00 PM,5:40:00 PM,6:40:00 PM
TOMKEN RD at DUNDAS ST,6:42:00 AM,7:42:00 AM,8:42:00 AM,9:42:00 AM,10:42:00 AM,11:42:00 AM,12:42:00 PM,1:42:00 PM,2:42:00 PM,3:42:00 PM,4:42:00 PM,5:42:00 PM,6:42:00 PM
TOMKEN RD at BLOOR ST,6:44:00 AM,7:44:00 AM,8:44:00 AM,9:44:00 AM,10:44:00 AM,11:44:00 AM,12:44:00 PM,1:44:00 PM,2:44:00 PM,3:44:00 PM,4:44:00 PM,5:44:00 PM,6:44:00 PM
TOMKEN RD north of RUNNINGBROOK DR,6:48:00 AM,7:48:00 AM,8:48:00 AM,9:48:00 AM,10:48:00 AM,11:48:00 AM,12:48:00 PM,1:48:00 PM,2:48:00 PM,3:48:00 PM,4:48:00 PM,5:48:00 PM,6:48:00 PM
TOMKEN RD at BURNHAMTHORPE RD,6:48:00 AM,7:48:00 AM,8:48:00 AM,9:48:00 AM,10:48:00 AM,11:48:00 AM,12:48:00 PM,1:48:00 PM,2:48:00 PM,3:48:00 PM,4:48:00 PM,5:48:00 PM,6:48:00 PM
TOMKEN RD at WILLOWBANK TRAIL,6:50:00 AM,7:50:00 AM,8:50:00 AM,9:50:00 AM,10:50:00 AM,11:50:00 AM,12:50:00 PM,1:50:00 PM,2:50:00 PM,3:50:00 PM,4:50:00 PM,5:50:00 PM,6:50:00 PM
TOMKEN RD at TOMKEN STATION,6:51:00 AM,7:51:00 AM,8:51:00 AM,9:51:00 AM,10:51:00 AM,11:51:00 AM,12:51:00 PM,1:51:00 PM,2:51:00 PM,3:51:00 PM,4:51:00 PM,5:51:00 PM,6:51:00 PM
TOMKEN RD at EGLINTON AVE,6:52:00 AM,7:52:00 AM,8:52:00 AM,9:52:00 AM,10:52:00 AM,11:52:00 AM,12:52:00 PM,1:52:00 PM,2:52:00 PM,3:52:00 PM,4:52:00 PM,5:52:00 PM,6:52:00 PM
TOMKEN RD at NUVIK CRT,6:52:00 AM,7:52:00 AM,8:52:00 AM,9:52:00 AM,10:52:00 AM,11:52:00 AM,12:52:00 PM,1:52:00 PM,2:52:00 PM,3:52:00 PM,4:52:00 PM,5:52:00 PM,6:52:00 PM
TOMKEN RD at MATHESON BLVD,6:55:00 AM,7:55:00 AM,8:55:00 AM,9:55:00 AM,10:55:00 AM,11:55:00 AM,12:55:00 PM,1:55:00 PM,2:55:00 PM,3:55:00 PM,4:55:00 PM,5:55:00 PM,6:55:00 PM
TOMKEN RD at MEYERSIDE DR,7:01:00 AM,8:01:00 AM,9:01:00 AM,10:01:00 AM,11:01:00 AM,12:01:00 PM,1:01:00 PM,2:01:00 PM,3:01:00 PM,4:01:00 PM,5:01:00 PM,6:01:00 PM,7:01:00 PM
TOMKEN RD at COURTNEYPARK DR,7:02:00 AM,8:02:00 AM,9:02:00 AM,10:02:00 AM,11:02:00 AM,12:02:00 PM,1:02:00 PM,2:02:00 PM,3:02:00 PM,4:02:00 PM,5:02:00 PM,6:02:00 PM,7:02:00 PM
TOMKEN RD at PACIFIC CIRCLE,7:03:00 AM,8:03:00 AM,9:03:00 AM,10:03:00 AM,11:03:00 AM,12:03:00 PM,1:03:00 PM,2:03:00 PM,3:03:00 PM,4:03:00 PM,5:03:00 PM,6:03:00 PM,7:03:00 PM
TOMKEN RD at DERRY RD,7:05:00 AM,8:05:00 AM,9:05:00 AM,10:05:00 AM,11:05:00 AM,12:05:00 PM,1:05:00 PM,2:05:00 PM,3:05:00 PM,4:05:00 PM,5:05:00 PM,6:05:00 PM,7:05:00 PM
CARDIFF BLVD at TOMKEN RD,7:06:00 AM,8:06:00 AM,9:06:00 AM,10:06:00 AM,11:06:00 AM,12:06:00 PM,1:06:00 PM,2:06:00 PM,3:06:00 PM,4:06:00 PM,5:06:00 PM,6:06:00 PM,7:06:00 PM
LORIMAR DR at CARDIFF BLVD,7:06:00 AM,8:06:00 AM,9:06:00 AM,10:06:00 AM,11:06:00 AM,12:06:00 PM,1:06:00 PM,2:06:00 PM,3:06:00 PM,4:06:00 PM,5:06:00 PM,6:06:00 PM,7:06:00 PM
LORIMAR DR at MAXWELL RD,7:06:00 AM,8:06:00 AM,9:06:00 AM,10:06:00 AM,11:06:00 AM,12:06:00 PM,1:06:00 PM,2:06:00 PM,3:06:00 PM,4:06:00 PM,5:06:00 PM,6:06:00 PM,7:06:00 PM
LORIMAR DR east of MAXWELL RD,7:06:00 AM,8:06:00 AM,9:06:00 AM,10:06:00 AM,11:06:00 AM,12:06:00 PM,1:06:00 PM,2:06:00 PM,3:06:00 PM,4:06:00 PM,5:06:00 PM,6:06:00 PM,7:06:00 PM
CARDIFF BLVD east of TOMKEN RD,7:07:00 AM,8:07:00 AM,9:07:00 AM,10:07:00 AM,11:07:00 AM,12:07:00 PM,1:07:00 PM,2:07:00 PM,3:07:00 PM,4:07:00 PM,5:07:00 PM,6:07:00 PM,
CARDIFF BLVD at LORIMAR DR,7:07:00 AM,8:07:00 AM,9:07:00 AM,10:07:00 AM,11:07:00 AM,12:07:00 PM,1:07:00 PM,2:07:00 PM,3:07:00 PM,4:07:00 PM,5:07:00 PM,6:07:00 PM,
