WESTWOOD MALL BUS TERMINAL PLATFORM H,6:12 AM[a],6:47 AM[a],7:22 AM[a],7:57 AM[a],8:32 AM[a],9:07 AM[a],9:42 AM[a],10:17 AM[a],10:52 AM[a],11:27 AM[a],12:02 PM[a],12:37 PM[a],1:12 PM[a],1:47 PM[a],2:22 PM[a],2:57 PM[a],3:32 PM[a],4:07 PM[a],4:42 PM[a],5:17 PM[a],5:52 PM[a],6:27 PM[a],7:02 PM[a],7:37 PM[a],8:12 PM[a],8:47 PM[a],9:22 PM[a],9:54 PM[a],10:26 PM[a],10:58 PM[a],11:33 PM[a]
BRANDON GATE DR at DARCEL AVE,6:20 AM[a],6:55 AM[a],7:30 AM[a],8:05 AM[a],8:40 AM[a],9:15 AM[a],9:50 AM[a],10:25 AM[a],11:00 AM[a],11:35 AM[a],12:10 PM[a],12:45 PM[a],1:20 PM[a],1:55 PM[a],2:30 PM[a],3:05 PM[a],3:40 PM[a],4:15 PM[a],4:50 PM[a],5:25 PM[a],6:00 PM[a],6:35 PM[a],7:10 PM[a],7:45 PM[a],8:20 PM[a],8:55 PM[a],9:30 PM[a],10:02 PM[a],10:34 PM[a],11:06 PM[a],11:41 PM[a]
MORNING STAR DR at BRANDON GATE DR,6:27 AM[a],7:02 AM[a],7:37 AM[a],8:12 AM[a],8:47 AM[a],9:22 AM[a],9:57 AM[a],10:32 AM[a],11:07 AM[a],11:42 AM[a],12:17 PM[a],12:52 PM[a],1:27 PM[a],2:02 PM[a],2:37 PM[a],3:12 PM[a],3:47 PM[a],4:22 PM[a],4:57 PM[a],5:32 PM[a],6:07 PM[a],6:42 PM[a],7:17 PM[a],7:52 PM[a],8:27 PM[a],9:02 PM[a],9:37 PM[a],10:09 PM[a],10:41 PM[a],11:13 PM[a],11:48 PM[a]
REXWOOD RD south of DERRY RD,6:30 AM[a],7:05 AM[a],7:40 AM[a],8:15 AM[a],8:50 AM[a],9:25 AM[a],10:00 AM[a],10:35 AM[a],11:10 AM[a],11:45 AM[a],12:20 PM[a],12:55 PM[a],1:30 PM[a],2:05 PM[a],2:40 PM[a],3:15 PM[a],3:50 PM[a],4:25 PM[a],5:00 PM[a],5:35 PM[a],6:10 PM[a],6:45 PM[a],7:20 PM[a],7:55 PM[a],8:30 PM[a],9:05 PM[a],9:40 PM[a],10:12 PM[a],10:44 PM[a],11:16 PM[a],11:51 PM[a]
NASHUA DR SECOND STOP east of REXWOOD RD,6:32 AM[a],7:07 AM[a],7:42 AM[a],8:17 AM[a],8:52 AM[a],9:27 AM[a],10:02 AM[a],10:37 AM[a],11:12 AM[a],11:47 AM[a],12:22 PM[a],12:57 PM[a],1:32 PM[a],2:07 PM[a],2:42 PM[a],3:17 PM[a],3:52 PM[a],4:27 PM[a],5:02 PM[a],5:37 PM[a],6:12 PM[a],6:47 PM[a],7:22 PM[a],7:57 PM[a],8:32 PM[a],9:07 PM[a],9:41 PM[a],10:13 PM[a],10:45 PM[a],11:17 PM[a],11:52 PM[a]
NASHUA DR at GOREWAY DR,6:34 AM[a],7:09 AM[a],7:44 AM[a],8:19 AM[a],8:54 AM[a],9:29 AM[a],10:04 AM[a],10:39 AM[a],11:14 AM[a],11:49 AM[a],12:24 PM[a],12:59 PM[a],1:34 PM[a],2:09 PM[a],2:44 PM[a],3:19 PM[a],3:54 PM[a],4:29 PM[a],5:04 PM[a],5:39 PM[a],6:14 PM[a],6:49 PM[a],7:24 PM[a],7:59 PM[a],8:34 PM[a],9:09 PM[a],9:43 PM[a],10:15 PM[a],10:47 PM[a],11:19 PM[a],11:54 PM[a]
REXWOOD RD at DERRY RD,6:36 AM[a],7:11 AM[a],7:47 AM[a],8:22 AM[a],8:56 AM[a],9:31 AM[a],10:06 AM[a],10:41 AM[a],11:16 AM[a],11:51 AM[a],12:26 PM[a],1:01 PM[a],1:36 PM[a],2:11 PM[a],2:47 PM[a],3:22 PM[a],3:57 PM[a],4:32 PM[a],5:07 PM[a],5:42 PM[a],6:16 PM[a],6:51 PM[a],7:26 PM[a],8:01 PM[a],8:36 PM[a],9:11 PM[a],9:44 PM[a],10:16 PM[a],10:48 PM[a],11:20 PM[a],11:55 PM[a]
REXWOOD RD west of NETHERBRAE RD,6:37 AM[a],7:12 AM[a],7:48 AM[a],8:23 AM[a],8:57 AM[a],9:32 AM[a],10:07 AM[a],10:42 AM[a],11:17 AM[a],11:52 AM[a],12:27 PM[a],1:02 PM[a],1:37 PM[a],2:12 PM[a],2:48 PM[a],3:23 PM[a],3:58 PM[a],4:33 PM[a],5:08 PM[a],5:43 PM[a],6:17 PM[a],6:52 PM[a],7:27 PM[a],8:02 PM[a],8:37 PM[a],9:12 PM[a],9:45 PM[a],10:17 PM[a],10:49 PM[a],11:21 PM[a],11:56 PM[a]
DARCEL AVE at WOODRUFF CRES,6:39 AM[a],7:14 AM[a],7:50 AM[a],8:25 AM[a],8:59 AM[a],9:34 AM[a],10:09 AM[a],10:44 AM[a],11:19 AM[a],11:54 AM[a],12:29 PM[a],1:04 PM[a],1:39 PM[a],2:14 PM[a],2:50 PM[a],3:25 PM[a],4:00 PM[a],4:35 PM[a],5:10 PM[a],5:45 PM[a],6:19 PM[a],6:54 PM[a],7:29 PM[a],8:04 PM[a],8:39 PM[a],9:14 PM[a],9:47 PM[a],10:19 PM[a],10:51 PM[a],11:23 PM[a],11:58 PM[a]
WESTWOOD MALL BUS TERMINAL PLATFORM H,6:43 AM[a],7:18 AM[a],7:54 AM[a],8:29 AM[a],9:03 AM[a],9:37 AM[a],10:12 AM[a],10:47 AM[a],11:22 AM[a],11:57 AM[a],12:32 PM[a],1:07 PM[a],1:43 PM[a],2:18 PM[a],2:54 PM[a],3:29 PM[a],4:04 PM[a],4:39 PM[a],5:14 PM[a],5:49 PM[a],6:23 PM[a],6:57 PM[a],7:32 PM[a],8:07 PM[a],8:42 PM[a],9:17 PM[a],9:50 PM[a],10:22 PM[a],10:54 PM[a],11:26 PM[a],12:01 AM[a]
